model,time_over_tau,receiver,other_site_1,other_site_2,reference_C_1,reference_C_2,model_C_1,model_C_2,reference_magnitude_gap,model_magnitude_gap,reference_preferred_site,model_preferred_site,raw_order_result,conditional_result,combined_per_entry_empirical_allowance
harmonic,0.1,1,0,2,-0.036791860861380754,-0.03863529401512267,-0.14650142272233296,-0.13658484767136625,0.0018434331537419135,0.009916575050966714,2,0,reverse,reverse,0.0005929189686903263
harmonic,0.1,2,0,1,-0.04739180248458663,-0.03863529401512261,-0.1552026625925853,-0.13658484767136597,0.00875650846946402,0.018617814921219333,0,0,agree,agree,0.0005929189686903263
harmonic,0.25,0,1,2,-0.06305536980940489,-0.08140724346285726,-0.2910283367104089,-0.3093786362238104,0.018351873653452366,0.018350299513401502,2,2,agree,agree,0.0008380121205751621
harmonic,0.25,1,0,2,-0.06305536980940482,-0.06931868000231033,-0.2910283367104089,-0.2696652674825623,0.006263310192905505,0.021363069227846587,2,0,reverse,reverse,0.0008380121205751621
harmonic,0.25,2,0,1,-0.08140724346285722,-0.06931868000231016,-0.30937863622381023,-0.26966526748256175,0.012088563460547055,0.03971336874124848,0,0,agree,agree,0.0008380121205751621
harmonic,0.75,0,1,2,-0.08720093158844704,-0.11020980461340597,-0.48504847458098677,-0.5188669838193388,0.023008873024958937,0.03381850923835206,2,2,agree,agree,0.000866644855304921
harmonic,0.75,1,0,2,-0.08720093158844683,-0.10836355506061482,-0.485048474580987,-0.4445140908152331,0.02116262347216799,0.04053438376575391,2,0,reverse,reverse,0.000866644855304921
harmonic,0.75,2,0,1,-0.11020980461340579,-0.10836355506061485,-0.5188669838193392,-0.44451409081523274,0.0018462495527909462,0.07435289300410641,0,0,agree,agree,0.000866644855304921
harmonic,1.0,0,1,2,-0.09154733160060007,-0.11384658411236626,-0.5178350639126246,-0.5548142927947071,0.02229925251176619,0.03697922888208249,2,2,agree,agree,0.0008679433251958214
harmonic,1.0,1,0,2,-0.09154733160060002,-0.11857209400074861,-0.5178350639126249,-0.47329330376513246,0.02702476240014859,0.04454176014749245,2,0,reverse,reverse,0.0008679433251958214
harmonic,1.0,2,0,1,-0.11384658411236621,-0.11857209400074845,-0.5548142927947072,-0.473293303765132,0.004725509888382232,0.08152098902957516,1,0,reverse,reverse,0.0008679433251958214
harmonic,2.5,0,1,2,-0.10342270879694732,-0.12046581022904111,-0.5553401008867437,-0.5972003344012077,0.017043101432093796,0.041860233514463996,2,2,agree,agree,0.0008170126861252439
harmonic,2.5,1,0,2,-0.10342270879694733,-0.1492377244393741,-0.5553401008867437,-0.5043127193262487,0.04581501564242678,0.05102738156049502,2,0,reverse,reverse,0.0008170126861252439
harmonic,2.5,2,0,1,-0.12046581022904108,-0.14923772443937397,-0.5972003344012079,-0.5043127193262482,0.028771914210332886,0.09288761507495968,1,0,reverse,reverse,0.0008170126861252439
harmonic,7.5,0,1,2,-0.1115732625701587,-0.12462495928033795,-0.5561072792386276,-0.5982966841012254,0.01305169671017925,0.04218940486259781,2,2,agree,agree,0.0007773765510089059
harmonic,7.5,1,0,2,-0.1115732625701587,-0.16614585708175095,-0.5561072792386278,-0.5042140535642846,0.05457259451159224,0.05189322567434318,2,0,reverse,reverse,0.0007773765510089059
harmonic,7.5,2,0,1,-0.12462495928033794,-0.16614585708175092,-0.5982966841012255,-0.5042140535642842,0.04152089780141298,0.09408263053694133,1,0,reverse,reverse,0.0007773765510089059
harmonic,10.0,0,1,2,-0.1128314021364387,-0.1254305371572261,-0.5561052438147404,-0.5982904485267645,0.012599135020787397,0.04218520471202414,2,2,agree,agree,0.0007756498122606219
harmonic,10.0,1,0,2,-0.11283140213643869,-0.16769318212347753,-0.5561052438147406,-0.5042121193975715,0.05486177998703884,0.05189312441716909,2,0,reverse,reverse,0.0007756498122606219
harmonic,10.0,2,0,1,-0.12543053715722607,-0.1676931821234775,-0.5982904485267648,-0.504212119397571,0.04226264496625143,0.09407832912919378,1,0,reverse,reverse,0.0007756498122606219
