model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
Gaussian,0.075,0,2,-0.03821305747291659,-0.09268024438038913,-0.05446718690747254,0.05446718690747254,0.0004966479607951172,3.552713678800501e-15,0.054963834868271215,False,False
Gaussian,0.075,1,0,-0.029694916573798386,-0.08919774344217962,-0.05950282686838124,0.05950282686838124,0.0004966479607951172,3.552713678800501e-15,0.05999947482917991,False,False
Gaussian,0.075,1,1,-0.06496035828056645,-0.16462627602183222,-0.09966591774126576,0.09966591774126576,0.0004966479607951172,3.552713678800501e-15,0.10016256570206443,False,False
Gaussian,0.075,1,2,-0.030941658423807944,-0.08596002303282829,-0.05501836460902035,0.05501836460902035,0.0004966479607951172,3.552713678800501e-15,0.05551501256981902,False,False
Gaussian,0.075,2,0,-0.038213057472916576,-0.09268024438038913,-0.054467186907472556,0.054467186907472556,0.0004966479607951172,3.552713678800501e-15,0.05496383486827123,False,False
Gaussian,0.075,2,1,-0.03094165842380786,-0.08596002303282829,-0.05501836460902043,0.05501836460902043,0.0004966479607951172,3.552713678800501e-15,0.055515012569819104,False,False
Gaussian,0.075,2,2,-0.06491371287452677,-0.15868403445727153,-0.09377032158274476,0.09377032158274476,0.0004966479607951172,3.552713678800501e-15,0.09426696954354342,False,False
Gaussian,0.1,0,0,-0.08251480486296009,-0.18914919766509974,-0.10663439280213965,0.10663439280213965,0.0005929189686863295,3.552713678800501e-15,0.10722731177082953,False,False
Gaussian,0.1,0,1,-0.036791860861380754,-0.1134391699928427,-0.07664730913146195,0.07664730913146195,0.0005929189686863295,3.552713678800501e-15,0.07724022810015183,False,False
Gaussian,0.1,0,2,-0.04739180248458663,-0.11790932275737892,-0.07051752027279229,0.07051752027279229,0.0005929189686863295,3.552713678800501e-15,0.07111043924148217,False,False
Gaussian,0.1,1,0,-0.03679186086138096,-0.1134391699928427,-0.07664730913146174,0.07664730913146174,0.0005929189686863295,3.552713678800501e-15,0.07724022810015162,False,False
Gaussian,0.1,1,1,-0.08168569478900695,-0.2094876663498868,-0.12780197156087986,0.12780197156087986,0.0005929189686863295,3.552713678800501e-15,0.12839489052956973,False,False
Gaussian,0.1,1,2,-0.03863529401512261,-0.10925960508642926,-0.07062431107130665,0.07062431107130665,0.0005929189686863295,3.552713678800501e-15,0.07121723003999653,False,False
Gaussian,0.1,2,0,-0.047391802484586756,-0.11790932275737886,-0.07051752027279211,0.07051752027279211,0.0005929189686863295,3.552713678800501e-15,0.07111043924148198,False,False
Gaussian,0.1,2,1,-0.03863529401512267,-0.10925960508642926,-0.0706243110713066,0.0706243110713066,0.0005929189686863295,3.552713678800501e-15,0.07121723003999647,False,False
Gaussian,0.1,2,2,-0.08138931417387621,-0.20203772153947852,-0.12064840736560231,0.12064840736560231,0.0005929189686863295,3.552713678800501e-15,0.12124132633429219,False,False
Gaussian,0.25,0,0,-0.147467647322563,-0.3680460982195417,-0.2205784508969787,0.2205784508969787,0.0008380121205711653,3.552713678800501e-15,0.2214164630175534,False,False
Gaussian,0.25,0,1,-0.06305536980940482,-0.21859043616037416,-0.15553506635096934,0.15553506635096934,0.0008380121205711653,3.552713678800501e-15,0.15637307847154405,False,False
Gaussian,0.25,0,2,-0.08140724346285722,-0.2276184499363738,-0.1462112064735166,0.1462112064735166,0.0008380121205711653,3.552713678800501e-15,0.1470492185940913,False,False
Gaussian,0.25,1,0,-0.06305536980940489,-0.21859043616037416,-0.15553506635096925,0.15553506635096925,0.0008380121205711653,3.552713678800501e-15,0.15637307847154397,False,False
Gaussian,0.25,1,1,-0.1512106160661061,-0.4047318940705908,-0.25352127800448465,0.25352127800448465,0.0008380121205711653,3.552713678800501e-15,0.25435929012505937,False,False
Gaussian,0.25,1,2,-0.06931868000231016,-0.20995949819558624,-0.14064081819327606,0.14064081819327606,0.0008380121205711653,3.552713678800501e-15,0.14147883031385078,False,False
Gaussian,0.25,2,0,-0.08140724346285726,-0.2276184499363738,-0.14621120647351654,0.14621120647351654,0.0008380121205711653,3.552713678800501e-15,0.14704921859409126,False,False
Gaussian,0.25,2,1,-0.06931868000231033,-0.20995949819558624,-0.1406408181932759,0.1406408181932759,0.0008380121205711653,3.552713678800501e-15,0.1414788303138506,False,False
Gaussian,0.25,2,2,-0.1482721637215577,-0.39141724614591433,-0.24314508242435665,0.24314508242435665,0.0008380121205711653,3.552713678800501e-15,0.24398309454493136,False,False
Gaussian,0.75,0,0,-0.2144122377799506,-0.5856068234234267,-0.3711945856434761,0.3711945856434761,0.0008666448553009242,3.552713678800501e-15,0.3720612304987806,False,False
Gaussian,0.75,0,1,-0.08720093158844683,-0.3426582915500678,-0.25545735996162094,0.25545735996162094,0.0008666448553009242,3.552713678800501e-15,0.2563240048169254,False,False
Gaussian,0.75,0,2,-0.11020980461340579,-0.35817583928274094,-0.24796603466933514,0.24796603466933514,0.0008666448553009242,3.552713678800501e-15,0.2488326795246396,False,False
Gaussian,0.75,1,0,-0.08720093158844704,-0.3426582915500678,-0.2554573599616207,0.2554573599616207,0.0008666448553009242,3.552713678800501e-15,0.2563240048169252,False,False
Gaussian,0.75,1,1,-0.24145728820211854,-0.6375706117947058,-0.3961133235925872,0.3961133235925872,0.0008666448553009242,3.552713678800501e-15,0.3969799684478917,False,False
Gaussian,0.75,1,2,-0.10836355506061485,-0.3277048674348781,-0.21934131237426324,0.21934131237426324,0.0008666448553009242,3.552713678800501e-15,0.2202079572295677,False,False
