kappa,d,n,time_over_tau,restriction_error,analytic_completion_error,same_grid_completion_error,full_harmonic_grid_vs_analytic_error,completion_static_error,completion_delayed_error
10,1,65,10,0.8655892371526178,0.03706626322134465,0.03473203920894774,0.0030008682367428374,0.037066000956138434,6.940387866936811e-06
10,2,65,0.1,0.1406811669039303,0.029865463050837204,0.027206578485341748,0.0027381076617687405,0.029541955669056652,0.02499226502342744
10,2,65,1,0.4275938608552521,0.05596090148880184,0.053182479587232656,0.0034438603593910377,0.029541955669056652,0.051087703461392034
10,2,65,10,0.47181669182396097,0.029541782743112144,0.02715133056369523,0.0030008682367428374,0.029541955669056652,7.156018652083615e-06
10,3,65,0.1,0.0,0.0027381076617687405,0.0,0.0027381076617687405,0.0030008673946437803,0.0009606215095302462
10,3,65,1,0.0,0.0034438603593910377,1.1102230246251565e-16,0.0034438603593910377,0.0030008673946437803,0.001080158845604029
10,3,65,10,0.0,0.0030008682367429484,1.1102230246251565e-16,0.0030008682367428374,0.0030008673946437803,2.4045268269378918e-08
100,1,17,0.1,0.21398458223522426,0.038648576223942466,0.002887663560522613,0.03579912522340256,0.005551295654935617,0.03371802923405953
100,1,17,1,0.83357691445688,0.03497686332792527,0.008187215323602226,0.02678964800432304,0.005551295654935617,0.030046316338042243
100,1,17,10,0.903797008133259,0.005551213529219723,0.0045667447763189095,0.0013377161486618494,0.005551295654935617,3.236788258911685e-07
100,2,17,0.1,0.1347496974178654,0.03826758207860076,0.0025066694151809066,0.03579912522340256,0.004191560008070805,0.03661361599647295
100,2,17,1,0.4472695429721152,0.03246492542541457,0.005675277421091529,0.02678964800432304,0.004191560008070805,0.030810959343286773
100,2,17,10,0.4657790905070527,0.004191405555815708,0.003129193581714984,0.0013377161486618494,0.004191560008070805,3.67375657377091e-07
100,3,17,0.1,0.0,0.03579912522340256,0.0,0.03579912522340256,0.001337707440270508,0.035248455488939956
100,3,17,1,0.0,0.02678964800432293,1.1102230246251565e-16,0.02678964800432304,0.001337707440270508,0.026277190829843006
100,3,17,10,0.0,0.0013377161486618494,5.551115123125783e-17,0.0013377161486618494,0.001337707440270508,9.468263564798081e-08
100,1,33,0.1,0.2381800350559694,0.013222154029655542,0.003261113079029654,0.010052976714367445,0.006330914837162083,0.007768164888094065
100,1,33,1,0.8514515485265913,0.01490153473011846,0.008119370566400885,0.00714787748554524,0.006330914837162083,0.009447545588557066
100,1,33,10,0.9035033410978344,0.006330857261631295,0.004625213120420191,0.0022919228834547,0.006330914837162083,1.5527476834821704e-07
100,2,33,0.1,0.15263082748984613,0.012821741780811968,0.0028607008301860803,0.010052976714367445,0.004986576453766378,0.010638188383253033
100,2,33,1,0.45348861038261973,0.012282460974193388,0.005500296810475813,0.00714787748554524,0.004986576453766378,0.010098907576634723
100,2,33,10,0.46567489467518863,0.004986479322695914,0.0031726301447970173,0.0022919228834547,0.004986576453766378,1.8252102200582552e-07
100,3,33,0.1,0.0,0.010052976714367445,0.0,0.010052976714367445,0.0022919219809099944,0.009029028697196129
100,3,33,1,0.0,0.00714787748554524,1.1102230246251565e-16,0.00714787748554524,0.0022919219809099944,0.005850151910287857
100,3,33,10,0.0,0.0022919228834547,1.1102230246251565e-16,0.0022919228834547,0.0022919219809099944,1.7514542262872084e-08
100,1,65,0.1,0.24505710307632705,0.006012034518642961,0.0033701186264091243,0.0027135119861935175,0.006830914582433234,0.0012654293494982483
100,1,65,1,0.8553888395289535,0.010487416819384698,0.008099478804784566,0.003319250355710568,0.006830914582433234,0.004691325346552214
100,1,65,10,0.9033069181784154,0.006830862925407577,0.004659229536438603,0.002902696928954396,0.006830914582433234,1.2264617776770826e-07
100,2,65,0.1,0.15782150128318667,0.005607217468442338,0.002965301576208501,0.0027135119861935175,0.005490610694274811,0.0030773701629582817
100,2,65,1,0.45468703871590843,0.008208433148920613,0.005455091400494938,0.003319250355710568,0.005490610694274811,0.005313182109611313
100,2,65,10,0.46561329136939333,0.005490525529526169,0.003196903977290999,0.002902696928954396,0.005490610694274811,1.4669877985367827e-07
100,3,65,0.1,0.0,0.0027135119861935175,0.0,0.0027135119861935175,0.002902696813107064,0.0014286091758881625
100,3,65,1,0.0,0.003319250355710568,1.1102230246251565e-16,0.003319250355710568,0.002902696813107064,0.0011746312982545554
100,3,65,10,0.0,0.002902696928954507,1.1102230246251565e-16,0.002902696928954396,0.002902696813107064,2.6726035947761356e-09
