independent_families,assumed_paired_sd,assumed_mean_gain,nominal_t_half_width,probability_positive_95percent_interval,probability_positive_interval_and_estimate_at_least_0p10,integration_absolute_error_estimate
60,0.15,0.2,0.03874910887586936,0.9999999999999999,0.9999998791218061,4.755245036545045e-11
60,0.25,0.0,0.06458184812644895,0.025000000000000012,0.0009728868460175395,1.4009313340794376e-11
60,0.25,0.05,0.06458184812644895,0.331432017295287,0.06066762513909761,7.271438495750312e-11
60,0.25,0.1,0.06458184812644895,0.8616171573232757,0.4999999998595927,9.679469931123202e-11
60,0.25,0.2,0.06458184812644895,0.9999821353662185,0.9990271131519237,4.811396209668665e-11
60,0.4,0.0,0.10333095700231831,0.025000000000000012,0.021392439055612587,3.4623493696195554e-11
60,0.4,0.05,0.10333095700231831,0.15686815282939695,0.14363863160941034,1.8254980860277215e-11
60,0.4,0.1,0.10333095700231831,0.4780578906470375,0.4589206735949814,2.9167446236044725e-11
60,0.4,0.2,0.10333095700231831,0.9677885833841653,0.9653374605910673,6.340848126618769e-11
60,0.6,0.0,0.15499643550347744,0.025000000000000012,0.024999867272221976,1.1598333404805317e-11
60,0.6,0.05,0.15499643550347744,0.09260024082015167,0.0925999981278696,2.915351293708568e-11
60,0.6,0.1,0.15499643550347744,0.24511813790727033,0.24511784524122024,3.5622532701395926e-11
60,0.6,0.2,0.15499643550347744,0.7189760135926407,0.7189758915135457,8.035946725319824e-11
100,0.15,0.0,0.02976325427263024,0.025000000004401376,1.1861245482752045e-11,2.29741401665687e-11
100,0.15,0.05,0.02976325427263024,0.9100174587933967,0.00042906033319691026,1.550241102339285e-11
100,0.15,0.1,0.02976325427263024,0.9999982662393472,0.4999999999999907,1.993400154083398e-11
100,0.15,0.2,0.02976325427263024,1.0,0.9999999999868974,3.986851865716969e-11
100,0.25,0.0,0.04960542378771707,0.025000000004401376,3.167124183312525e-05,2.6088041201088393e-11
100,0.25,0.05,0.04960542378771707,0.5082242011703868,0.022750131948183046,2.421441770363144e-11
100,0.25,0.1,0.04960542378771707,0.977300751914576,0.4999999999999907,1.993400154083398e-11
100,0.25,0.2,0.04960542378771707,0.9999999987452569,0.9999683287581482,3.986738189631166e-11
100,0.4,0.0,0.07936867806034731,0.025000000004401376,0.006209556450812714,7.562951393619288e-11
100,0.4,0.05,0.07936867806034731,0.235125268223831,0.10564859023893766,4.7552003041749724e-11
100,0.4,0.1,0.07936867806034731,0.6969756927729692,0.4999972990202665,8.512078505910505e-11
100,0.4,0.2,0.07936867806034731,0.9986097259836877,0.993790204357982,5.0329573553830224e-11
100,0.6,0.0,0.11905301709052096,0.025000000004401376,0.024944118816996062,6.572502893388138e-11
100,0.6,0.05,0.11905301709052096,0.1282523419038366,0.12809956159765643,4.018047055858869e-11
100,0.6,0.1,0.11905301709052096,0.3784848085027618,0.3782760064507317,4.8419905936630633e-11
100,0.6,0.2,0.11905301709052096,0.9100174587933967,0.9099687534838475,4.7342324310790095e-11
